PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
347,5206,976,5.3,21,8,281,267,457,2996,16,13,6.1,138,483,2210,16,4.6,119,104,862,24,187,35.3,9.6,Own 28.4,2:36,5.40,27.9,1.76
326,5233,993,5.3,25,10,278,223,377,2219,19,15,5.1,109,558,3014,18,5.4,148,80,754,21,181,34.3,12.7,Own 29.9,2:46,5.64,28.7,1.85
418,5768,1053,5.5,18,6,357,418,610,4240,35,12,6.5,221,399,1528,14,3.8,96,81,623,40,176,41.5,9.7,Own 30.7,2:56,6.15,32.7,2.36
361,5934,1116,5.3,21,9,350,335,540,3444,19,12,5.9,182,532,2490,19,4.7,142,102,865,26,179,34.6,11.2,Own 28.2,3:00,6.37,33.0,1.89
467,6034,1114,5.4,23,5,347,355,556,3736,28,18,6.4,194,531,2298,24,4.3,129,104,842,24,195,41.5,10.8,Own 29.0,2:35,5.88,30.9,2.31
287,5527,1078,5.1,24,9,300,345,571,3592,18,15,5.7,166,444,1935,11,4.4,105,113,970,29,199,28.6,10.6,Own 26.5,2:33,5.60,27.6,1.44
453,6460,1092,5.9,15,8,376,383,588,4281,29,7,7.0,228,480,2179,23,4.5,114,90,773,34,176,43.2,8.0,Own 30.1,2:53,6.38,36.6,2.48
370,5745,1051,5.5,22,10,334,364,563,3632,27,12,6.1,186,456,2113,12,4.6,116,89,747,32,177,36.2,11.3,Own 29.9,3:04,6.10,32.5,1.97
289,4820,1015,4.7,28,9,277,352,579,3344,20,19,5.4,159,398,1476,7,3.7,90,88,644,28,198,28.8,13.6,Own 28.2,2:29,5.28,24.3,1.43
289,5298,1103,4.8,34,14,310,398,604,3432,17,20,5.2,193,439,1866,8,4.3,91,89,794,26,195,29.2,16.9,Own 28.9,2:40,5.86,27.0,1.39
404,6075,1072,5.7,22,13,352,394,596,3959,25,9,6.3,208,448,2116,16,4.7,114,90,674,30,181,39.2,12.2,Own 29.6,2:48,6.12,33.5,2.08
496,7032,1094,6.4,23,11,408,435,651,5062,41,12,7.5,272,417,1970,18,4.7,105,87,838,31,179,46.4,10.1,Own 28.9,2:53,6.29,39.3,2.71
391,6108,1154,5.3,19,9,352,485,711,4584,26,10,6.1,232,404,1524,15,3.8,93,81,635,27,189,38.1,9.5,Own 29.6,2:46,6.28,32.3,2.01
307,4769,1001,4.8,23,8,293,347,531,3108,16,15,5.3,181,411,1661,15,4.0,89,76,655,23,176,33.5,13.1,Own 26.6,2:53,5.86,27.0,1.71
395,5993,1049,5.7,21,4,343,359,586,3934,28,17,6.3,193,428,2059,12,4.8,122,113,932,28,172,42.4,12.2,Own 26.6,3:02,6.30,34.7,2.18
397,6197,1009,6.1,21,6,342,368,584,4511,30,15,7.3,220,390,1686,12,4.3,93,111,881,29,178,38.8,11.8,Own 26.6,2:48,5.85,34.9,2.13
424,6145,1123,5.5,23,8,382,448,672,4484,30,15,6.2,244,404,1661,18,4.1,93,88,684,45,197,36.0,11.7,Own 29.0,2:34,5.77,30.8,2.04
364,5348,1006,5.3,23,9,288,358,540,3536,19,14,6.1,166,425,1812,12,4.3,98,104,841,24,192,32.8,12.0,Own 30.8,2:35,5.43,27.8,1.63
330,5674,1015,5.6,25,11,305,338,512,3692,24,14,6.7,181,465,1982,12,4.3,103,99,841,21,186,31.7,12.9,Own 27.7,2:42,5.62,30.5,1.73
365,5676,1089,5.2,16,10,352,346,520,3157,17,6,5.5,170,520,2519,21,4.8,150,106,827,32,177,37.3,7.3,Own 26.7,2:55,6.30,32.0,1.95
296,5409,1074,5.0,23,9,294,357,627,3723,15,14,5.6,191,405,1686,13,4.2,79,91,866,24,194,29.9,11.9,Own 27.9,2:31,5.73,27.8,1.47
477,6614,1124,5.9,19,10,385,350,536,4105,25,9,7.1,195,544,2509,32,4.6,161,90,682,29,186,42.5,10.2,Own 29.1,2:48,6.18,35.4,2.50
308,5484,1109,4.9,19,5,345,364,571,3411,12,14,5.6,189,500,2073,16,4.1,129,94,711,27,177,35.0,9.6,Own 27.3,3:02,6.51,30.9,1.68
407,5976,1044,5.7,23,11,346,399,573,3934,30,12,6.4,206,425,2042,12,4.8,106,106,854,34,187,40.6,11.2,Own 29.5,2:38,5.78,31.9,2.12
450,6216,1047,5.9,17,8,347,338,512,3856,30,9,7.1,188,504,2360,20,4.7,132,94,730,27,186,41.4,9.1,Own 32.2,2:55,5.80,33.4,2.32
313,5894,1159,5.1,22,12,346,499,751,4586,26,10,5.9,240,386,1308,5,3.4,79,99,793,27,194,32.0,10.3,Own 26.9,2:36,6.17,30.3,1.60
298,5045,992,5.1,23,12,277,285,456,2914,16,11,5.8,153,487,2131,16,4.4,104,111,956,20,190,27.9,10.5,Own 27.7,2:38,5.35,26.5,1.53
321,5615,1140,4.9,23,7,339,344,554,3472,24,16,5.8,184,538,2143,9,4.0,124,92,805,31,197,29.4,11.7,Own 26.2,2:53,5.94,28.4,1.55
340,5499,1144,4.8,25,8,326,433,664,3626,17,17,5.1,189,434,1873,15,4.3,115,118,916,22,187,32.1,12.8,Own 26.8,2:45,6.29,29.2,1.65
321,5683,1092,5.2,28,11,326,327,530,3524,17,17,6.2,181,522,2159,14,4.1,121,84,743,24,196,32.1,14.3,Own 27.5,2:32,5.76,28.8,1.60
483,6296,1076,5.9,19,12,360,328,494,3635,27,7,6.8,180,541,2661,26,4.9,145,102,955,35,197,43.1,9.6,Own 32.8,2:42,5.65,31.8,2.37
451,6366,1115,5.7,28,10,381,385,579,4154,29,18,6.9,199,512,2212,22,4.3,158,106,883,24,181,41.4,14.9,Own 29.0,3:01,6.32,35.1,2.37
236,4510,1096,4.1,20,10,297,350,586,2741,13,10,4.2,150,445,1769,7,4.0,111,103,845,36,180,25.0,11.1,Own 25.6,2:56,6.26,25.1,1.19
360,5495,1097,5.0,25,10,322,321,513,3096,19,15,5.5,169,534,2399,16,4.5,137,99,853,16,184,38.0,13.0,Own 29.8,2:57,6.15,29.8,1.90
366,5422,1048,5.2,16,2,329,420,615,3895,27,14,5.9,208,383,1527,12,4.0,90,76,614,31,188,34.6,8.5,Own 28.0,2:48,5.74,28.8,1.87
396,5710,1187,4.8,37,14,325,355,624,3693,24,23,5.5,173,518,2017,15,3.9,121,115,897,31,222,32.9,16.2,Own 29.7,2:28,5.50,25.6,1.69
509,6317,1122,5.6,16,6,385,428,614,4397,36,10,6.7,229,468,1920,14,4.1,113,115,964,43,169,50.3,8.9,Own 28.9,3:11,6.85,37.3,2.67
357,5072,1016,5.0,22,13,301,337,513,3262,28,9,5.8,154,451,1810,8,4.0,116,99,749,31,189,34.9,10.6,Own 30.8,2:39,5.56,26.8,1.81
461,6712,1137,5.9,23,11,375,408,606,4401,30,12,6.9,228,500,2311,27,4.6,124,97,843,23,187,40.6,11.8,Own 30.4,2:51,6.19,35.8,2.44
383,5873,1052,5.6,18,7,338,374,581,3968,32,11,6.5,211,441,1905,10,4.3,101,105,856,26,174,39.7,9.2,Own 29.8,2:54,6.24,33.8,2.16
377,5820,1083,5.4,14,6,329,372,592,4173,27,8,6.5,215,444,1647,10,3.7,84,114,937,30,191,37.2,7.3,Own 27.1,2:39,5.87,30.4,1.89
396,5725,1094,5.2,22,12,324,355,574,3666,18,10,6.0,178,479,2059,19,4.3,113,95,685,33,196,35.7,9.2,Own 28.3,2:33,5.79,29.2,1.83
377,5772,1114,5.2,30,16,336,412,620,4126,22,14,6.2,199,453,1646,17,3.6,98,83,644,39,195,35.4,14.9,Own 31.2,2:42,5.90,29.5,1.86
371,5972,1080,5.5,28,11,350,421,635,4188,28,17,6.3,216,417,1784,9,4.3,107,96,845,27,178,39.3,14.6,Own 28.6,2:53,6.22,33.3,2.01
346,5599,1106,5.1,21,13,319,409,632,3957,24,8,5.9,204,431,1642,11,3.8,89,79,725,26,190,34.7,10.5,Own 26.9,2:35,5.99,29.4,1.78
404,6108,1094,5.6,18,5,351,361,583,4063,26,13,6.6,206,477,2045,18,4.3,110,89,720,35,185,41.1,9.2,Own 28.6,2:50,6.15,33.0,2.18
332,4922,1010,4.9,24,6,292,348,557,3380,20,18,5.7,182,413,1542,11,3.7,83,75,629,27,179,31.8,13.4,Own 29.4,2:43,5.81,27.5,1.65
496,6822,1053,6.5,25,10,360,393,566,4514,30,15,7.6,223,456,2308,27,5.1,113,97,767,24,186,43.5,13.4,Own 29.6,2:45,5.81,36.5,2.53
344,5912,1071,5.5,34,15,340,424,631,4359,30,19,6.4,220,393,1553,7,4.0,79,89,670,41,179,34.1,18.4,Own 26.6,2:47,6.15,32.9,1.85
236,4696,1020,4.6,29,8,261,351,557,3069,16,21,5.1,153,415,1627,9,3.9,93,89,676,15,203,20.2,14.3,Own 26.2,2:21,5.15,23.1,1.10
402,5732,1121,5.1,18,7,337,406,606,3990,28,11,6.2,199,480,1742,13,3.6,112,96,846,26,194,36.6,8.2,Own 31.2,2:44,5.97,29.6,1.94
266,4760,1057,4.5,19,7,267,338,518,2886,15,12,4.8,141,454,1874,10,4.1,97,89,711,29,199,23.6,8.5,Own 28.8,2:31,5.47,23.8,1.21
268,4566,1053,4.3,33,18,260,356,601,2919,11,15,4.4,156,388,1647,7,4.2,77,124,945,27,208,26.0,13.9,Own 30.3,2:23,5.25,21.8,1.13
433,6024,1112,5.4,28,12,377,369,563,3834,24,16,6.4,197,510,2190,22,4.3,149,95,785,31,177,42.9,15.3,Own 28.9,2:59,6.46,34.0,2.33
304,5173,1029,5.0,16,7,287,323,506,3163,13,9,5.8,153,487,2010,16,4.1,115,86,753,19,194,29.9,7.7,Own 28.4,2:36,5.46,26.6,1.49
364,5490,995,5.5,17,5,317,371,575,3910,23,12,6.4,189,382,1580,11,4.1,93,111,954,35,178,38.8,8.4,Own 28.7,2:34,5.83,30.8,1.93
491,6773,1024,6.6,18,6,383,336,491,4384,33,12,8.4,207,499,2389,27,4.8,147,101,933,29,179,45.3,10.1,Own 30.4,2:57,5.86,37.8,2.70
348,5321,1047,5.1,18,8,300,364,568,3812,28,10,6.3,188,439,1509,8,3.4,79,100,751,33,183,35.5,9.8,Own 28.8,2:44,5.89,29.1,1.85
305,4913,1002,4.9,20,9,298,304,494,3067,14,11,5.5,158,444,1846,16,4.2,103,110,882,37,181,32.6,9.4,Own 27.3,2:48,5.70,26.9,1.64
329,5317,1060,5.0,32,11,321,407,636,3725,24,21,5.3,190,359,1592,14,4.4,99,87,701,32,197,29.4,15.2,Own 27.4,2:33,5.50,26.9,1.68
330,5509,1068,5.2,18,6,330,355,555,3144,18,12,5.3,173,471,2365,17,5.0,127,101,859,30,180,35.0,9.4,Own 26.2,2:46,6.12,30.4,1.83
